Horodateur,Date,Heure / Time,Vélos depuis le 1er janvier / Grand total,Vélos ce jour / Today's total,"Si vous souhaitez, vous pouvez transmettre une image ou une vidéo ici","Une remarque, un commentaire ? L'espace ci-dessous vous est ouvert ! / Open comments below",Date,,
,,,,,,,,,
,12/03/2020,11:05:00,109,109,,,,,
,12/03/2020,14:30:00,441,441,,,,,
,13/03/2020,10:02:00,1921,385,,,,,
,13/03/2020,14:15:00,2305,769,,,,,
,13/03/2020,18:21:00,2822,1286,,,,,
,13/03/2020,18:25:00,2834,1298,,,,,
,14/03/2020,16:26:43,3951,642,,,,,
,15/03/2020,09:05:50,4492,50,,,,,
,15/03/2020,09:53:00,4512,70,,,,,
,15/03/2020,11:25:00,4567,125,,,,,
,15/03/2020,14:25:00,4710,268,,,,,
,15/03/2020,15:37:00,4825,383,,,,,
,15/03/2020,20:30:00,5008,566,,,,,
,16/03/2020,06:57:00,5097,14,,,,,
,16/03/2020,08:12:00,5157,74,,,,,
,16/03/2020,08:24:00,5176,93,,,,,
,16/03/2020,11:19:00,5348,265,,,,,
,16/03/2020,17:42:00,5748,665,,,,,
,16/03/2020,18:12:00,5788,705,,,,,
,16/03/2020,18:53:00,5836,753,,,,,
,16/03/2020,21:14:00,5958,875,,,,,
,16/03/2020,22:15:00,6010,927,,,,,
,17/03/2020,08:00:00,6069,40,,,,,
,17/03/2020,08:39:00,6109,80,,,,,
,17/03/2020,08:51:00,6129,100,,,,,
,17/03/2020,10:50:00,6216,187,,,,,
,17/03/2020,11:02:00,6229,200,,,,,
,17/03/2020,11:18:00,6249,220,,,,,
,17/03/2020,11:41:00,6286,257,,,,,
,17/03/2020,12:10:00,6319,290,,,,,
,17/03/2020,15:28:00,6401,372,,,,,
,17/03/2020,19:22:00,6539,510,,,,,
,18/03/2020,08:01:00,6614,26,,,,,
,18/03/2020,12:12:00,6729,141,,,,,
,18/03/2020,19:30:00,7052,464,,,,,
,18/03/2020,19:52:00,7064,476,,,,,
,18/03/2020,20:07:00,7078,490,,,,,
,18/03/2020,22:00:00,7188,600,,,,,
,19/03/2020,07:33:00,7208,12,,,,,
